YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,WS10M,WD10M,Updated_T_C,Power_Output_kW
2022,1,12,23,0.0,0.0,11.09,3.66,33.9,11.09,0.0
2022,1,13,0,0.0,0.0,10.4,3.5,39.3,10.4,0.0
2022,1,13,1,0.0,0.0,9.73,3.33,44.6,9.73,0.0
2022,1,13,2,0.0,0.0,9.17,3.28,49.5,9.17,0.0
2022,1,13,3,0.0,0.0,8.7,3.27,53.4,8.7,0.0
2022,1,13,4,0.0,0.0,8.26,3.26,56.7,8.26,0.0
2022,1,13,5,0.0,0.0,7.83,3.22,59.2,7.83,0.0
2022,1,13,6,0.0,0.0,7.4,3.15,61.8,7.4,0.0
2022,1,13,7,54.92,22.23,9.0,3.27,65.6,10.26075725,27847.344627658065
2022,1,13,8,244.25,102.27,12.19,3.63,68.0,17.7421078125,119694.09680873597
2022,1,13,9,443.88,190.92,16.08,2.98,69.2,26.3502735,208837.00610674184
2022,1,13,10,605.4,262.37,20.45,4.36,62.8,33.935285,274391.3384649914
2022,1,13,11,704.05,307.22,22.12,3.87,56.3,38.0183290625,312569.205325539
2022,1,13,12,672.37,296.12,23.2,3.49,49.0,38.5426429375,297703.2685644479
2022,1,13,13,705.45,309.39,23.86,3.35,41.1,40.0192140625,309982.29642204975
2022,1,13,14,578.3,253.6,24.02,3.34,33.6,37.270298749999995,257724.66917077417
2022,1,13,15,402.1,175.12,23.61,3.34,23.5,32.82311625,183264.20979770212
2022,1,13,16,200.55,85.53,22.06,2.69,13.3,26.7365753125,94178.82045250342
2022,1,13,17,25.62,10.48,17.24,2.78,1.4,17.835985249999997,12549.54943927765
2022,1,13,18,0.0,0.0,15.22,3.33,359.5,15.22,0.0
2022,1,13,19,0.0,0.0,14.34,3.61,2.7,14.34,0.0
2022,1,13,20,0.0,0.0,13.64,3.77,9.0,13.64,0.0
2022,1,13,21,0.0,0.0,12.9,3.82,17.1,12.9,0.0
2022,1,13,22,0.0,0.0,12.14,3.78,25.5,12.14,0.0
2022,1,13,23,0.0,0.0,11.4,3.7,32.3,11.4,0.0
2022,1,14,0,0.0,0.0,10.65,3.56,37.7,10.65,0.0
2022,1,14,1,0.0,0.0,9.95,3.45,41.1,9.95,0.0
2022,1,14,2,0.0,0.0,9.33,3.38,44.3,9.33,0.0
2022,1,14,3,0.0,0.0,8.8,3.36,47.9,8.8,0.0
2022,1,14,4,0.0,0.0,8.36,3.36,53.0,8.36,0.0
2022,1,14,5,0.0,0.0,7.94,3.31,57.8,7.94,0.0
2022,1,14,6,0.0,0.0,7.55,3.23,61.5,7.55,0.0
2022,1,14,7,62.58,24.85,9.37,2.99,64.9,10.817553624999999,31652.167225697034
2022,1,14,8,268.27,113.47,12.99,3.46,66.7,19.116616125,130626.87797976412
2022,1,14,9,472.35,204.47,16.69,2.57,62.9,27.740037812500002,220739.44488527637
